ip,port,asn,isp,org,location.country,location.city,ssl.cert.fingerprint,ssl.cert.serial,ssl.jarm,ssl.ja3s
104.131.160.195,3000,AS14061,"DigitalOcean, LLC","DigitalOcean, LLC",United States,Clifton,,,,
104.237.0.10,7443,AS29802,"HIVELOCITY, Inc.",Hosteros LLC,United States,Seattle,e728848455217a0ca5c6d610142870bc24238dd43a00ab612f714a5a45d6268f,180350191598119810067793129610961525563,1dd40d40d00040d1dc1dd40d1dd40d49d2fee601d1d947c984d73c17761a87,1f88deb6bbac28865f2a77c1fe286e9e
104.237.0.10,3000,AS29802,"HIVELOCITY, Inc.",Hosteros LLC,United States,Seattle,,,,
107.155.81.125,7443,AS29802,"HIVELOCITY, Inc.",ExtraVM LLC,United States,Dallas,77c05edb8024cb835d4f70fc66116eeb861b378f455e867b627fbe96c4d5e828,261374059247094410136557225240295388880,1dd40d40d00040d1dc1dd40d1dd40d49d2fee601d1d947c984d73c17761a87,1f88deb6bbac28865f2a77c1fe286e9e
107.155.81.125,3000,AS29802,"HIVELOCITY, Inc.",ExtraVM LLC,United States,Dallas,,,,
112.213.35.83,8443,AS133159,Mammoth Media Pty Ltd,Mammoth Media Pty Ltd,Australia,Sydney,1f5241ca8a52da7e1819c85dadcaec1299be6fb5e4f0373d2343439edbfd365b,288407350917819230589088317226762927940490,21d19d00021d21d21c21d19d21d21d3b0d229d76f2fd7cb8e23bb87da38a20,e35df3e00ca4ef31d42b34bebaa2f86e
13.64.102.18,3000,AS8075,Microsoft Corporation,Microsoft Corporation,United States,San Jose,,,,
139.99.89.117,3000,AS16276,OVH SAS,OVH Singapore PTE. LTD,Singapore,Singapore,,,,
139.99.89.117,7443,AS16276,OVH SAS,OVH Singapore PTE. LTD,Singapore,Singapore,87b927ba96e4b2ecc52452cc3866049f4dd43368d5a7a614e4cc545df17a37c9,326494970324865901406864770324835155293,1dd40d40d00040d1dc1dd40d1dd40d49d2fee601d1d947c984d73c17761a87,1f88deb6bbac28865f2a77c1fe286e9e
143.110.238.200,7443,AS14061,"DigitalOcean, LLC","DigitalOcean, LLC",United States,Santa Clara,4b14d2c7f74db132bb6ed45f89de7fc8afc9086aebe6597680d71e8cfdde8594,188287659465733480502457833260212812404,1dd40d40d00040d1dc1dd40d1dd40d49d2fee601d1d947c984d73c17761a87,1f88deb6bbac28865f2a77c1fe286e9e
143.110.238.200,3000,AS14061,"DigitalOcean, LLC","DigitalOcean, LLC",United States,Santa Clara,,,,
143.198.0.34,3000,AS14061,"DigitalOcean, LLC","DigitalOcean, LLC",United States,Clifton,,,,
